number,value,datetime_start,datetime_complete,duration,params_gross_short,params_lambda_long,params_lambda_short,params_rebal_freq,params_rsi_period,params_top_n_long,params_top_n_short,state
0,0.3224,2026-04-21 17:40:54.642994,2026-04-21 17:41:22.377859,0 days 00:00:27.734865,0.4,1.9030368381735812,3.027182927734624,1,3,20,5,COMPLETE
1,0.0,2026-04-21 17:41:22.379493,2026-04-21 17:41:24.906209,0 days 00:00:02.526716,0.2,0.19721610970574002,2.333481883618462,3,3,20,12,COMPLETE
2,0.7126,2026-04-21 17:41:24.907426,2026-04-21 17:41:51.464193,0 days 00:00:26.556767,0.4,0.9519754482692676,1.272083045469184,2,2,15,5,COMPLETE
3,0.6266,2026-04-21 17:41:51.465671,2026-04-21 17:42:18.333072,0 days 00:00:26.867401,0.3,0.2600005911730265,2.5411709798607287,2,7,15,5,COMPLETE
4,0.2564,2026-04-21 17:42:18.334317,2026-04-21 17:42:23.128752,0 days 00:00:04.794435,0.5,0.1241318963529422,1.2693089228250278,1,2,15,5,COMPLETE
5,0.6405,2026-04-21 17:42:23.129964,2026-04-21 17:42:26.603520,0 days 00:00:03.473556,0.4,0.29130095015495916,2.294223523656215,3,3,10,5,COMPLETE
6,0.4092,2026-04-21 17:42:26.605219,2026-04-21 17:42:31.227513,0 days 00:00:04.622294,0.2,2.1068591627429094,1.2962896813527134,1,3,20,8,COMPLETE
7,0.5749,2026-04-21 17:42:31.228534,2026-04-21 17:42:34.890878,0 days 00:00:03.662344,0.4,2.6402883285404344,1.0630319644587922,3,3,10,8,COMPLETE
8,0.4855,2026-04-21 17:42:34.892046,2026-04-21 17:42:56.810544,0 days 00:00:21.918498,0.5,1.19032031739992,1.5047588003306511,2,5,15,8,COMPLETE
9,0.7701,2026-04-21 17:42:56.811827,2026-04-21 17:43:00.699785,0 days 00:00:03.887958,0.2,2.4191554508873754,0.7548990480297131,2,7,20,5,COMPLETE
10,0.0,2026-04-21 17:43:00.703065,2026-04-21 17:43:03.491997,0 days 00:00:02.788932,0.2,0.5823763181103752,0.52764149634397,2,7,20,12,COMPLETE
11,0.7126,2026-04-21 17:43:03.493397,2026-04-21 17:43:07.371650,0 days 00:00:03.878253,0.3,0.8929800679794434,8.06169204545949,2,2,15,5,COMPLETE
12,0.7862,2026-04-21 17:43:07.373815,2026-04-21 17:43:11.804547,0 days 00:00:04.430732,0.4,1.044844853178489,0.5675080545635757,2,2,20,5,COMPLETE
13,0.7701,2026-04-21 17:43:11.805887,2026-04-21 17:43:15.878856,0 days 00:00:04.072969,0.2,1.4384016613080475,0.5251935609603328,2,7,20,5,COMPLETE
14,0.5447,2026-04-21 17:43:15.880193,2026-04-21 17:43:19.930974,0 days 00:00:04.050781,0.4,2.993501632241748,0.7352339221948547,2,5,20,5,COMPLETE
15,0.0,2026-04-21 17:43:19.932533,2026-04-21 17:43:22.354922,0 days 00:00:02.422389,0.2,0.5943040678293677,0.7578262940531177,2,7,20,12,COMPLETE
16,0.7855,2026-04-21 17:43:22.358372,2026-04-21 17:43:26.699092,0 days 00:00:04.340720,0.3,1.6290597147790606,4.046335861936059,2,2,20,5,COMPLETE
17,0.4687,2026-04-21 17:43:26.700450,2026-04-21 17:43:30.834306,0 days 00:00:04.133856,0.3,0.8229550549198411,4.888021286078718,2,2,10,5,COMPLETE
