number,value,datetime_start,datetime_complete,duration,params_gross_short,params_lambda_long,params_lambda_short,params_rebal_freq,params_rsi_period,params_top_n_long,params_top_n_short,state
0,0.5429,2026-04-21 20:47:13.646299,2026-04-21 20:47:46.335624,0 days 00:00:32.689325,0.4,1.9030368381735812,3.027182927734624,1,3,20,5,COMPLETE
1,0.0,2026-04-21 20:47:46.337538,2026-04-21 20:47:49.624483,0 days 00:00:03.286945,0.2,0.19721610970574002,2.333481883618462,3,3,20,12,COMPLETE
2,0.6393,2026-04-21 20:47:49.625948,2026-04-21 20:48:21.339147,0 days 00:00:31.713199,0.4,0.9519754482692676,1.272083045469184,2,2,15,5,COMPLETE
3,0.8748,2026-04-21 20:48:21.340438,2026-04-21 20:48:53.319241,0 days 00:00:31.978803,0.3,0.2600005911730265,2.5411709798607287,2,7,15,5,COMPLETE
4,0.2179,2026-04-21 20:48:53.320747,2026-04-21 20:48:58.331070,0 days 00:00:05.010323,0.5,0.1241318963529422,1.2693089228250278,1,2,15,5,COMPLETE
5,0.6981,2026-04-21 20:48:58.333913,2026-04-21 20:49:01.913593,0 days 00:00:03.579680,0.4,0.29130095015495916,2.294223523656215,3,3,10,5,COMPLETE
6,0.5956,2026-04-21 20:49:01.915300,2026-04-21 20:49:06.810999,0 days 00:00:04.895699,0.2,2.1068591627429094,1.2962896813527134,1,3,20,8,COMPLETE
7,0.6125,2026-04-21 20:49:06.812257,2026-04-21 20:49:10.345728,0 days 00:00:03.533471,0.4,2.6402883285404344,1.0630319644587922,3,3,10,8,COMPLETE
8,0.6077,2026-04-21 20:49:10.347173,2026-04-21 20:49:42.689952,0 days 00:00:32.342779,0.5,1.19032031739992,1.5047588003306511,2,5,15,8,COMPLETE
9,0.8914,2026-04-21 20:49:42.691400,2026-04-21 20:49:46.691795,0 days 00:00:04.000395,0.2,2.4191554508873754,0.7548990480297131,2,7,20,5,COMPLETE
10,0.0,2026-04-21 20:49:46.693145,2026-04-21 20:49:49.977371,0 days 00:00:03.284226,0.2,0.5823763181103752,0.52764149634397,2,7,20,12,COMPLETE
11,0.8748,2026-04-21 20:49:49.979206,2026-04-21 20:49:53.754857,0 days 00:00:03.775651,0.3,0.36368174009388166,6.553287597935899,2,7,15,5,COMPLETE
12,0.8317,2026-04-21 20:49:53.756240,2026-04-21 20:49:57.581974,0 days 00:00:03.825734,0.3,0.7027814475850298,4.985106637058162,2,7,20,5,COMPLETE
13,0.8748,2026-04-21 20:49:57.583455,2026-04-21 20:50:01.517078,0 days 00:00:03.933623,0.3,0.338093390994846,0.544002284554101,2,7,15,5,COMPLETE
14,0.7326,2026-04-21 20:50:01.518536,2026-04-21 20:50:05.475198,0 days 00:00:03.956662,0.3,0.11131762769060773,4.47692826635967,2,7,10,5,COMPLETE
15,0.0,2026-04-21 20:50:05.476556,2026-04-21 20:50:09.018465,0 days 00:00:03.541909,0.2,0.19189629161886482,0.7829765415925033,2,5,20,12,COMPLETE
16,0.9332,2026-04-21 20:50:09.020461,2026-04-21 20:50:12.817395,0 days 00:00:03.796934,0.2,1.2438646675521174,3.60069211107989,2,7,15,5,COMPLETE
17,0.8914,2026-04-21 20:50:12.818696,2026-04-21 20:50:17.008166,0 days 00:00:04.189470,0.2,1.2734112953587424,9.416001460678691,2,7,20,5,COMPLETE
18,0.7164,2026-04-21 20:50:17.009391,2026-04-21 20:50:22.340203,0 days 00:00:05.330812,0.2,1.7441159401168873,3.832393976848442,1,7,15,12,COMPLETE
19,0.7373,2026-04-21 20:50:22.341531,2026-04-21 20:50:26.283669,0 days 00:00:03.942138,0.2,2.6186526236339907,1.777585411304709,3,5,10,8,COMPLETE
20,0.8125,2026-04-21 20:50:26.285168,2026-04-21 20:50:30.517287,0 days 00:00:04.232119,0.2,0.8014084101437993,0.8500915080467168,2,2,20,5,COMPLETE
21,0.8914,2026-04-21 20:50:30.518963,2026-04-21 20:50:34.574640,0 days 00:00:04.055677,0.2,1.4513110138686407,9.203851714132435,2,7,20,5,COMPLETE
