trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
0,0.7739560485559633,0.6583176596280784,0.42929895995569123,0.6475,0.9245,10.03,-30.61,82.12
1,0.6973680290593639,0.1412660218314743,0.48781117581837796,0.6788,0.9722,10.77,-30.36,89.89
2,0.761139701990353,1.1790964579154308,0.06405681633777294,0.5927,0.8422,9.24,-32.75,74.07
3,0.45038593789556713,0.5561970363488719,0.4633824944243009,0.6572,0.9379,10.37,-30.79,85.64
4,0.6438651200806645,1.234142419906245,0.22170709941366556,0.5989,0.8512,9.24,-31.97,74.05
5,0.2272387217847769,0.8318771805237521,0.03190862805208766,0.6153,0.8741,10.02,-33.53,82.03
6,0.8276311719925821,0.9474965986830972,0.3790438700426869,0.6264,0.8929,9.59,-30.85,77.55
7,0.35452596812986836,1.4560470365923548,0.44656056066109884,0.5975,0.8483,9.08,-31.0,72.43
8,0.7783834970737619,0.29195806177795136,0.2333605018635171,0.655,0.936,10.5,-31.75,87.02
9,0.04380376578722878,0.23143423810132174,0.3415244766212273,0.668,0.9527,11.03,-31.97,92.73
10,0.7447621559078171,1.451264598651315,0.16291267906907597,0.5802,0.8237,8.86,-32.2,70.27
11,0.3704597060348689,0.7043337169137118,0.09473567954214285,0.6264,0.8912,10.15,-33.01,83.34
12,0.12992150533547164,0.7135573893389007,0.11345467452544206,0.6272,0.8916,10.26,-33.18,84.47
13,0.6698139946825103,0.6557278783084961,0.4163390980289187,0.6479,0.9246,10.1,-30.81,82.85
14,0.7002651020022491,0.4685499620730616,0.41612990069760053,0.6578,0.9399,10.34,-30.78,85.27
15,0.8047643574968019,0.5812175685452616,0.14416405196512205,0.6338,0.9039,10.09,-32.24,82.66
16,0.6824955039749755,0.2096287254139647,0.09995410123755416,0.652,0.9312,10.66,-32.63,88.7
17,0.007362269751005512,1.1803865662532076,0.33242542829601607,0.6096,0.8649,9.64,-32.06,78.11
18,0.7051653786263351,1.1710935465329517,0.22945788776916998,0.6033,0.8578,9.3,-31.86,74.68
19,0.5687411959528937,0.20969549719148617,0.05726503676798672,0.6506,0.9285,10.73,-33.01,89.43
20,0.6684029617904717,0.7066443092146988,0.2826180532405944,0.6366,0.9076,10.02,-31.59,81.96
21,0.7649988574160256,0.9520774800008862,0.2767897003289979,0.6202,0.8833,9.6,-31.52,77.7
22,0.5592071607454135,0.4559251470939183,0.015408917283969703,0.6355,0.9055,10.4,-33.26,85.93
23,0.43671738923236236,0.3218770092292938,0.20426432186231808,0.6549,0.9344,10.68,-32.31,88.95
24,0.8534030732681661,0.3509092287980111,0.02915137084453301,0.6384,0.9111,10.35,-32.85,85.39
25,0.28138389202199654,0.4403906366500254,0.33095825736344753,0.6562,0.9357,10.61,-31.75,88.22
26,0.5570321523412783,1.1758473136596201,0.33215677016369377,0.6096,0.8668,9.38,-31.43,75.49
27,0.4063868614400705,1.221030576999052,0.08348645995385195,0.593,0.8415,9.36,-33.04,75.29
28,0.022712073133860478,0.13507179116346263,0.36117967529822514,0.6743,0.9622,11.18,-31.88,94.37
29,0.4618772302513874,0.2419076685504027,0.25052238755168177,0.6615,0.9446,10.78,-32.01,89.97
30,0.15231210271316842,1.044480562616604,0.22307813778701535,0.6127,0.8699,9.77,-32.52,79.39
31,0.3810212260964825,0.4522681337218148,0.31514129655944423,0.6546,0.9337,10.55,-31.73,87.49
32,0.3618126105533904,0.1314748789741515,0.05900295106025766,0.6564,0.9366,10.97,-33.23,92.01
33,0.9618976645495145,1.3628710360614105,0.3498535669053748,0.5957,0.8476,8.9,-30.88,70.65
34,0.2658699614595196,1.4537645660215859,0.3893754519828973,0.5946,0.8436,9.12,-31.43,72.84
35,0.7168901891589956,0.674042253215683,0.1361207809225795,0.6293,0.8967,10.02,-32.39,81.96
36,0.0963909621534993,1.3539035948157625,0.22788814491680554,0.5927,0.8403,9.33,-32.56,74.98
37,0.20236336479523032,0.45893493622597875,0.289609784470948,0.6525,0.9298,10.62,-32.08,88.29
38,0.1767727829392317,1.2849214261385633,0.37925976491760505,0.6054,0.8593,9.41,-31.6,75.77
39,0.7194629559509368,0.6481395596626556,0.3136544203512216,0.6415,0.9152,10.07,-31.35,82.52
40,0.5840979689127356,0.97476990233223,0.042222160569944545,0.6057,0.861,9.63,-33.08,78.02
41,0.41580740217060963,0.06242126079283872,0.24699540962225947,0.6704,0.958,11.04,-32.09,92.82
42,0.3298612123327853,0.21678628329907035,0.05170148386127582,0.652,0.9296,10.87,-33.31,90.99
43,0.587644572177712,0.25588945280532915,0.4625600591883986,0.6725,0.9619,10.69,-30.63,89.05
44,0.581061139700395,0.5203047068022556,0.2954577457407084,0.6487,0.9255,10.33,-31.62,85.24
45,0.022803871029697498,1.437838819862168,0.24115171847145012,0.5878,0.8328,9.24,-32.57,74.08
46,0.7827352272502862,0.12409499988365785,0.24332916541908017,0.664,0.9498,10.72,-31.69,89.35
47,0.4907069943545209,1.4067396824624743,0.2858640261880377,0.5916,0.8399,9.07,-31.78,72.34
48,0.4734894010569538,0.40046349463784037,0.1657844986712761,0.6482,0.9243,10.55,-32.49,87.52
49,0.5206724024715378,0.6583671904575701,0.010806039940165213,0.6239,0.8879,10.13,-33.33,83.14
50,0.8262919241943578,1.34424115775965,0.07012454449930539,0.5815,0.8259,8.96,-32.65,71.31
51,0.5540361435390494,0.16286361170316532,0.33612004651990585,0.6698,0.9576,10.83,-31.41,90.51
52,0.2812337838390083,0.9891339520378526,0.3634973071434413,0.6241,0.8874,9.8,-31.57,79.73
53,0.768647491917657,0.16161141893384484,0.45800592256880396,0.6754,0.9673,10.69,-30.45,89.09
54,0.23021399089488082,0.05611883426426967,0.2774262346957417,0.6735,0.962,11.17,-32.12,94.23
55,0.37092228386243875,1.2446846146986197,0.4041257360321509,0.6096,0.8661,9.38,-31.23,75.47
56,0.31713889282271535,1.4293490926046175,0.1454589190700593,0.5829,0.8264,9.11,-32.78,72.71
57,0.5150571292317145,0.3839476358514041,0.46802178502448166,0.6669,0.9529,10.57,-30.69,87.78
58,0.16460781758201815,0.06736592908849348,0.21754853000151897,0.6699,0.9562,11.19,-32.54,94.47
59,0.992375564055837,1.337515899382371,0.3743040097284746,0.5987,0.8522,8.92,-30.71,70.89
60,0.8907924908785249,1.3401699595467949,0.25942918019322453,0.5924,0.8424,8.96,-31.48,71.26
61,0.315929051830793,1.158018648166482,0.33083063158388054,0.6112,0.8684,9.53,-31.71,76.98
62,0.37365772887371007,0.1417000020922729,0.373394805674513,0.6742,0.9637,10.97,-31.4,92.1
63,0.2624605159228647,1.405219725800669,0.12048528750284238,0.5833,0.8269,9.17,-32.99,73.3
64,0.12275793241148603,1.2466690081873593,0.07664215831224702,0.5917,0.8388,9.47,-33.4,76.3
65,0.1792683081577391,0.8990741872812653,0.43728102041873224,0.6338,0.9016,9.99,-31.26,81.67
66,0.19643466571457324,0.46548550935014216,0.3887024191205888,0.6578,0.9378,10.62,-31.52,88.31
67,0.9718264260609674,0.7511117793035135,0.07194875127562539,0.6177,0.8803,9.74,-32.49,79.06
68,0.013936287708201545,0.3444840449982829,0.06591110889326052,0.6462,0.9197,10.86,-33.58,90.82
69,0.6776586736128575,0.1827487569427967,0.2531649658103165,0.6627,0.9475,10.71,-31.75,89.29
70,0.6942624356428865,0.8716749138313535,0.09988782583002881,0.6151,0.8754,9.74,-32.62,79.08
71,0.8041245261822627,1.0731106944237025,0.3694920019577709,0.6177,0.8797,9.41,-30.93,75.78
72,0.13105775155731325,0.1856307054755169,0.4637812755032538,0.6777,0.9678,11.06,-31.16,93.06
73,0.39757819382494064,0.4514230376714096,0.24429202267576666,0.6504,0.9274,10.53,-32.12,87.33
74,0.6628642127635824,1.4334348855704548,0.1432231134410275,0.5808,0.8244,8.93,-32.41,70.92
75,0.9248084293120271,0.037289237079384474,0.27759902116341234,0.6687,0.9578,10.74,-31.34,89.56
