trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
0,0.7739560485559633,0.6583176596280784,0.42929895995569123,0.6619,0.957,9.07,-24.59,72.33
1,0.6973680290593639,0.1412660218314743,0.48781117581837796,0.742,1.0812,10.69,-24.04,89.05
2,0.761139701990353,1.1790964579154308,0.06405681633777294,0.5819,0.8339,8.54,-29.92,67.13
3,0.45038593789556713,0.5561970363488719,0.4633824944243009,0.6849,0.988,9.69,-25.17,78.58
4,0.6438651200806645,1.234142419906245,0.22170709941366556,0.6114,0.8783,8.76,-28.04,69.32
5,0.2272387217847769,0.8318771805237521,0.03190862805208766,0.5781,0.8234,8.9,-31.97,70.64
6,0.8276311719925821,0.9474965986830972,0.3790438700426869,0.6409,0.925,8.81,-25.46,69.79
7,0.35452596812986836,1.4560470365923548,0.44656056066109884,0.6533,0.939,9.2,-25.74,73.63
8,0.7783834970737619,0.29195806177795136,0.2333605018635171,0.6726,0.9723,10.0,-27.51,81.74
9,0.04380376578722878,0.23143423810132174,0.3415244766212273,0.6995,1.0042,10.99,-28.3,92.25
10,0.7447621559078171,1.451264598651315,0.16291267906907597,0.5997,0.8611,8.63,-28.58,68.07
11,0.3704597060348689,0.7043337169137118,0.09473567954214285,0.5963,0.852,9.0,-30.66,71.67
12,0.12992150533547164,0.7135573893389007,0.11345467452544206,0.597,0.8507,9.19,-31.17,73.55
13,0.6698139946825103,0.6557278783084961,0.4163390980289187,0.6601,0.9533,9.14,-25.17,73.02
14,0.7002651020022491,0.4685499620730616,0.41612990069760053,0.6863,0.9936,9.66,-25.08,78.33
15,0.8047643574968019,0.5812175685452616,0.14416405196512205,0.6185,0.889,9.08,-28.87,72.45
16,0.6824955039749755,0.2096287254139647,0.09995410123755416,0.6589,0.95,10.2,-29.65,83.83
17,0.007362269751005512,1.1803865662532076,0.33242542829601607,0.6252,0.8918,9.37,-28.55,75.39
18,0.7051653786263351,1.1710935465329517,0.22945788776916998,0.6125,0.8805,8.72,-27.76,68.94
19,0.5687411959528937,0.20969549719148617,0.05726503676798672,0.654,0.9409,10.29,-30.55,84.79
20,0.6684029617904717,0.7066443092146988,0.2826180532405944,0.6272,0.9027,8.89,-27.1,70.59
21,0.7649988574160256,0.9520774800008862,0.2767897003289979,0.6195,0.8921,8.69,-26.88,68.65
22,0.5592071607454135,0.4559251470939183,0.015408917283969703,0.6155,0.882,9.52,-31.16,76.81
23,0.43671738923236236,0.3218770092292938,0.20426432186231808,0.6695,0.9634,10.24,-28.92,84.27
24,0.8534030732681661,0.3509092287980111,0.02915137084453301,0.6267,0.9008,9.64,-30.45,78.03
25,0.28138389202199654,0.4403906366500254,0.33095825736344753,0.6755,0.9708,10.12,-27.64,82.98
26,0.5570321523412783,1.1758473136596201,0.33215677016369377,0.6331,0.9106,8.94,-26.7,71.02
27,0.4063868614400705,1.221030576999052,0.08348645995385195,0.5895,0.8423,8.86,-30.7,70.23
28,0.022712073133860478,0.13507179116346263,0.36117967529822514,0.7141,1.0267,11.33,-28.1,95.98
29,0.4618772302513874,0.2419076685504027,0.25052238755168177,0.6877,0.992,10.49,-28.18,86.94
30,0.15231210271316842,1.044480562616604,0.22307813778701535,0.6113,0.8726,9.19,-29.58,73.5
31,0.3810212260964825,0.4522681337218148,0.31514129655944423,0.6723,0.9673,9.98,-27.53,81.58
32,0.3618126105533904,0.1314748789741515,0.05900295106025766,0.6672,0.9588,10.77,-31.18,89.88
33,0.9618976645495145,1.3628710360614105,0.3498535669053748,0.6352,0.9161,8.79,-25.89,69.57
34,0.2658699614595196,1.4537645660215859,0.3893754519828973,0.6415,0.9198,9.23,-26.87,73.93
35,0.7168901891589956,0.674042253215683,0.1361207809225795,0.6034,0.8662,8.81,-29.05,69.78
36,0.0963909621534993,1.3539035948157625,0.22788814491680554,0.6109,0.8714,9.23,-29.7,73.94
37,0.20236336479523032,0.45893493622597875,0.289609784470948,0.6638,0.9518,10.08,-28.49,82.64
38,0.1767727829392317,1.2849214261385633,0.37925976491760505,0.6377,0.9128,9.29,-27.31,74.53
39,0.7194629559509368,0.6481395596626556,0.3136544203512216,0.64,0.9227,9.03,-26.51,71.91
40,0.5840979689127356,0.97476990233223,0.042222160569944545,0.5805,0.8303,8.66,-30.72,68.3
41,0.41580740217060963,0.06242126079283872,0.24699540962225947,0.708,1.0232,11.07,-28.38,93.19
42,0.3298612123327853,0.21678628329907035,0.05170148386127582,0.6562,0.9414,10.54,-31.38,87.44
43,0.587644572177712,0.25588945280532915,0.4625600591883986,0.7249,1.0521,10.46,-24.73,86.57
44,0.581061139700395,0.5203047068022556,0.2954577457407084,0.6576,0.9473,9.54,-27.16,77.09
45,0.022803871029697498,1.437838819862168,0.24115171847145012,0.6113,0.8711,9.29,-29.77,74.56
46,0.7827352272502862,0.12409499988365785,0.24332916541908017,0.6931,1.0045,10.47,-27.46,86.72
47,0.4907069943545209,1.4067396824624743,0.2858640261880377,0.6248,0.8971,8.96,-27.58,71.24
48,0.4734894010569538,0.40046349463784037,0.1657844986712761,0.6517,0.9366,9.92,-29.34,80.99
49,0.5206724024715378,0.6583671904575701,0.010806039940165213,0.587,0.8391,8.92,-31.34,70.88
50,0.8262919241943578,1.34424115775965,0.07012454449930539,0.5829,0.8354,8.55,-29.87,67.23
51,0.5540361435390494,0.16286361170316532,0.33612004651990585,0.7119,1.0312,10.68,-26.65,88.97
52,0.2812337838390083,0.9891339520378526,0.3634973071434413,0.6373,0.9136,9.2,-27.18,73.62
53,0.768647491917657,0.16161141893384484,0.45800592256880396,0.7302,1.0637,10.49,-24.22,86.93
54,0.23021399089488082,0.05611883426426967,0.2774262346957417,0.7139,1.0297,11.32,-28.57,95.91
55,0.37092228386243875,1.2446846146986197,0.4041257360321509,0.6459,0.9279,9.16,-26.3,73.2
56,0.31713889282271535,1.4293490926046175,0.1454589190700593,0.6001,0.8574,8.99,-30.12,71.54
57,0.5150571292317145,0.3839476358514041,0.46802178502448166,0.7107,1.0287,10.17,-24.88,83.51
58,0.16460781758201815,0.06736592908849348,0.21754853000151897,0.7018,1.0098,11.31,-29.62,95.8
59,0.992375564055837,1.337515899382371,0.3743040097284746,0.64,0.9235,8.81,-25.53,69.76
60,0.8907924908785249,1.3401699595467949,0.25942918019322453,0.6177,0.889,8.71,-27.19,68.85
61,0.315929051830793,1.158018648166482,0.33083063158388054,0.6321,0.9062,9.15,-27.53,73.1
62,0.37365772887371007,0.1417000020922729,0.373394805674513,0.7226,1.0452,10.98,-26.73,92.21
63,0.2624605159228647,1.405219725800669,0.12048528750284238,0.5957,0.8502,9.01,-30.65,71.76
64,0.12275793241148603,1.2466690081873593,0.07664215831224702,0.5875,0.8364,9.08,-31.69,72.45
65,0.1792683081577391,0.8990741872812653,0.43728102041873224,0.6476,0.9279,9.33,-26.48,74.93
66,0.19643466571457324,0.46548550935014216,0.3887024191205888,0.6799,0.9764,10.14,-27.11,83.25
67,0.9718264260609674,0.7511117793035135,0.07194875127562539,0.5831,0.8357,8.55,-29.85,67.22
68,0.013936287708201545,0.3444840449982829,0.06591110889326052,0.6387,0.9113,10.41,-32.19,86.06
69,0.6776586736128575,0.1827487569427967,0.2531649658103165,0.6912,1.0005,10.42,-27.5,86.11
70,0.6942624356428865,0.8716749138313535,0.09988782583002881,0.5889,0.8442,8.62,-29.62,67.91
71,0.8041245261822627,1.0731106944237025,0.3694920019577709,0.6412,0.9252,8.84,-25.65,70.06
72,0.13105775155731325,0.1856307054755169,0.4637812755032538,0.7293,1.0516,11.16,-26.27,94.08
