trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
0,1.2739560485559633,0.5266541277024628,0.42929895995569123,0.8098,12.22,-22.77,106.08,0
1,1.1973680290593638,0.11301281746517944,0.48781117581837796,0.7124,9.81,-23.93,79.79,0
2,1.261139701990353,0.9432771663323445,0.06405681633777294,0.8806,13.82,-22.61,125.19,0
3,0.9503859378955671,0.44495762907909747,0.4633824944243009,0.7674,9.43,-21.59,75.96,0
4,1.1438651200806644,0.987313935924996,0.22170709941366556,0.8672,13.15,-22.77,116.95,0
5,0.7272387217847769,0.6655017444190018,0.03190862805208766,0.8756,8.6,-15.52,67.71,0
6,1.3276311719925822,0.7579972789464778,0.3790438700426869,0.8428,13.6,-21.7,122.5,0
7,0.8545259681298684,1.1648376292738838,0.44656056066109884,0.7829,11.53,-24.94,98.18,0
8,1.278383497073762,0.23356644942236107,0.2333605018635171,0.7987,11.0,-17.09,92.42,0
9,0.5438037657872288,0.18514739048105738,0.3415244766212273,0.6927,5.21,-15.16,37.47,0
10,1.244762155907817,1.161011678921052,0.16291267906907597,0.8713,14.57,-25.96,134.57,0
11,0.8704597060348689,0.5634669735309695,0.09473567954214285,0.8768,9.33,-14.53,74.91,0
12,0.6299215053354716,0.5708459114711205,0.11345467452544206,0.8676,7.48,-13.44,57.19,0
13,1.1698139946825103,0.5245823026467968,0.4163390980289187,0.8092,11.45,-21.7,97.28,0
14,1.2002651020022492,0.3748399696584493,0.41612990069760053,0.7884,11.03,-21.9,92.69,0
15,1.304764357496802,0.46497405483620935,0.14416405196512205,0.8479,12.2,-16.46,105.83,0
16,1.1824955039749754,0.16770298033117176,0.09995410123755416,0.7987,9.98,-15.01,81.51,0
17,0.5073622697510055,0.9443092530025661,0.33242542829601607,0.7358,7.97,-20.57,61.7,0
18,1.2051653786263352,0.9368748372263614,0.22945788776916998,0.8691,13.42,-22.25,120.22,0
19,1.0687411959528936,0.16775639775318893,0.05726503676798672,0.8045,9.12,-13.65,72.8,0
20,1.1684029617904717,0.565315447371759,0.2826180532405944,0.8447,11.63,-17.76,99.37,0
21,1.2649988574160256,0.761661984000709,0.2767897003289979,0.8598,13.17,-19.72,117.21,0
